date_time,lat,long,depth,magnitude,location 1,location 2,date_time_formatted,date,time,date_f
26 June 2022 - 04:22 AM,5.96,125.61,137,3.9,Jose Abad Santos ,Davao Occidental,2022-06-26T04:22:00,2022-06-26,04:22:00,2022-06-26
16 February 2022 - 06:29 PM,12.73,125.6,13,4.4,Mapanas ,Northern Samar,2022-02-16T06:29:00,2022-02-16,06:29:00,2022-02-16
30 March 2022 - 03:23 PM,6.67,124.96,4,3.7,Columbio ,Sultan Kudarat,2022-03-30T03:23:00,2022-03-30,03:23:00,2022-03-30
30 March 2022 - 12:42 PM,3.9,126.4,224,3.7,Balut Island ,Municipality Of Sarangani ,2022-03-30T12:42:00,2022-03-30,12:42:00,2022-03-30
30 March 2022 - 12:36 PM,3.66,126.15,196,3.8,Balut Island ,Municipality Of Sarangani ,2022-03-30T12:36:00,2022-03-30,12:36:00,2022-03-30
30 March 2022 - 04:14 AM,2.94,125.86,154,4.1,Balut Island ,Municipality Of Sarangani ,2022-03-30T04:14:00,2022-03-30,04:14:00,2022-03-30
28 April 2022 - 01:20 AM,2.14,126.21,135,4.6,Balut Island ,Municipality Of Sarangani ,2022-04-28T01:20:00,2022-04-28,01:20:00,2022-04-28
30 July 2022 - 01:33 AM,17.5,120.57,1,4.0,San Isidro ,Abra,2022-07-30T01:33:00,2022-07-30,01:33:00,2022-07-30
30 July 2022 - 01:19 AM,17.63,120.53,3,3.5,Tayum ,Abra,2022-07-30T01:19:00,2022-07-30,01:19:00,2022-07-30
16 January 2022 - 09:57 PM,16.55,120.98,2,3.9,Ambaguio ,Nueva Vizcaya,2022-01-16T09:57:00,2022-01-16,09:57:00,2022-01-16
16 February 2022 - 12:16 PM,13.59,125.18,47,3.7,Gigmoto ,Catanduanes,2022-02-16T12:16:00,2022-02-16,12:16:00,2022-02-16
15 February 2022 - 11:17 PM,19.79,122.36,12,3.8,Babuyan Island ,Calayan ,2022-02-15T11:17:00,2022-02-15,11:17:00,2022-02-15
30 March 2022 - 02:26 AM,15.08,119.75,7,3.6,Cabangan ,Zambales,2022-03-30T02:26:00,2022-03-30,02:26:00,2022-03-30
