date_time,lat,long,depth,magnitude,location 1,location 2,date_time_formatted,date,time,date_f
30 July 2021 - 12:12 AM,13.71,120.63,92,1.8,Calatagan ,Batangas,2021-07-30T12:12:00,2021-07-30,12:12:00,2021-07-30
29 July 2021 - 11:35 PM,11.94,125.15,35,2.0,Paranas ,Samar,2021-07-29T11:35:00,2021-07-29,11:35:00,2021-07-29
29 July 2021 - 06:20 PM,17.7,121.09,15,2.0,Lacub ,Abra,2021-07-29T06:20:00,2021-07-29,06:20:00,2021-07-29
29 July 2021 - 05:58 PM,17.69,121.11,11,2.0,Lacub ,Abra,2021-07-29T05:58:00,2021-07-29,05:58:00,2021-07-29
31 March 2021 - 12:34 AM,15.14,119.87,23,1.6,San Felipe ,Zambales,2021-03-31T12:34:00,2021-03-31,12:34:00,2021-03-31
30 March 2021 - 11:48 PM,17.91,120.87,33,1.6,Banna ,Ilocos Norte,2021-03-30T11:48:00,2021-03-30,11:48:00,2021-03-30
30 March 2021 - 07:52 PM,7.87,126.44,33,1.9,Lingig ,Surigao Del Sur,2021-03-30T07:52:00,2021-03-30,07:52:00,2021-03-30
27 January 2021 - 11:13 PM,16.39,120.93,26,1.8,Aritao ,Nueva Vizcaya,2021-01-27T11:13:00,2021-01-27,11:13:00,2021-01-27
27 January 2021 - 01:25 PM,8.38,126.75,25,2.0,Hinatuan ,Surigao Del Sur,2021-01-27T01:25:00,2021-01-27,01:25:00,2021-01-27
27 February 2021 - 05:09 AM,10.04,125.27,35,2.0,Pintuyan ,Southern Leyte,2021-02-27T05:09:00,2021-02-27,05:09:00,2021-02-27
27 February 2021 - 04:11 AM,9.87,122.35,15,2.0,City Of Sipalay ,Negros Occidental,2021-02-27T04:11:00,2021-02-27,04:11:00,2021-02-27
27 February 2021 - 02:22 AM,15.07,119.77,24,1.9,San Felipe ,Zambales,2021-02-27T02:22:00,2021-02-27,02:22:00,2021-02-27
27 February 2021 - 02:14 AM,9.83,125.34,32,1.9,San Francisco ,Surigao Del Norte,2021-02-27T02:14:00,2021-02-27,02:14:00,2021-02-27
30 May 2021 - 11:50 PM,15.62,120.11,26,1.8,Masinloc ,Zambales,2021-05-30T11:50:00,2021-05-30,11:50:00,2021-05-30
30 May 2021 - 09:50 PM,16.03,121.96,8,1.9,Dinalungan ,Aurora,2021-05-30T09:50:00,2021-05-30,09:50:00,2021-05-30
29 September 2021 - 11:26 PM,16.46,120.02,38,2.0,Bolinao ,Pangasinan,2021-09-29T11:26:00,2021-09-29,11:26:00,2021-09-29
29 September 2021 - 09:42 AM,16.09,121.65,24,1.9,Nagtipunan ,Quirino,2021-09-29T09:42:00,2021-09-29,09:42:00,2021-09-29
29 September 2021 - 06:50 AM,11.0,124.58,10,2.0,Albuera ,Leyte,2021-09-29T06:50:00,2021-09-29,06:50:00,2021-09-29
28 April 2021 - 04:01 PM,8.83,126.42,33,1.9,Marihatag ,Surigao Del Sur,2021-04-28T04:01:00,2021-04-28,04:01:00,2021-04-28
28 April 2021 - 12:57 PM,9.66,126.01,30,1.7,Socorro ,Surigao Del Norte,2021-04-28T12:57:00,2021-04-28,12:57:00,2021-04-28
28 April 2021 - 07:03 AM,15.91,119.62,34,1.8,Agno ,Pangasinan,2021-04-28T07:03:00,2021-04-28,07:03:00,2021-04-28
29 November 2021 - 08:05 PM,9.99,126.06,34,1.9,Burgos ,Surigao Del Norte,2021-11-29T08:05:00,2021-11-29,08:05:00,2021-11-29
29 November 2021 - 07:31 PM,9.75,125.9,22,1.8,Del Carmen ,Surigao Del Norte,2021-11-29T07:31:00,2021-11-29,07:31:00,2021-11-29
29 November 2021 - 03:26 PM,8.61,126.47,15,2.0,Marihatag ,Surigao Del Sur,2021-11-29T03:26:00,2021-11-29,03:26:00,2021-11-29
29 November 2021 - 07:15 AM,14.17,120.42,105,1.7,Nasugbu ,Batangas,2021-11-29T07:15:00,2021-11-29,07:15:00,2021-11-29
31 December 2021 - 05:03 AM,18.53,120.72,34,2.0,Bangui ,Ilocos Norte,2021-12-31T05:03:00,2021-12-31,05:03:00,2021-12-31
31 December 2021 - 02:12 AM,15.8,119.69,36,1.8,Infanta ,Pangasinan,2021-12-31T02:12:00,2021-12-31,02:12:00,2021-12-31
